#,Veículo,Quantidade
v1,Proceedings of the 2019 3rd International Symposium on Computer Science and Intelligent Control,1
v2,Proceedings of the Ninth International Symposium on Information and Communication Technology,1
v3,Proceedings of the 35th Annual ACM Symposium on Applied Computing,1
v4,Proceedings of the 9th International Conference on Information Systems and Technologies,1
v5,ACM Comput. Surv.,2
v8,"2018 International Conference on Electrical, Electronics, Communication, Computer, and Optimization Techniques (ICEECCOT)",1
v9,International Journal of Advanced Science and Technology,1
v10,"Proceeding of 2017 11th International Conference on Telecommunication Systems Services and Applications, TSSA 2017",1
